base_rtt,ecn,tcp,queue,throughput_mbps,queue_delay_ms,drop_count,mark_count
10ms,0,cubic,fq,48.192493333333324,3.1045646289923545,0.0,8.0
10ms,0,cubic,red,47.480473555555555,0.4519668959953724,8.333333333333334,0.0
10ms,1,cubic,red,47.470176888888886,0.46875512521656176,0.0,9.0
10ms,1,dctcp,codel,48.192493333333324,0.5878080741806554,0.0,10182.0
10ms,1,dctcp,red,48.19300888888889,3.8636253490717394,16.666666666666668,5962.333333333333
50ms,0,cubic,codel,45.85834066666666,0.9616680582663002,5.0,0.0
50ms,0,cubic,red,36.65358022222222,0.23944004625969453,6.0,0.0
50ms,0,reno,codel,40.17716933333333,0.8242021217261305,5.0,0.0
50ms,0,reno,pie,39.977536,0.8040235976024933,5.0,0.0
50ms,0,reno,red,36.656534444444446,0.24992261682520558,5.333333333333333,0.0
50ms,1,cubic,codel,45.85564266666666,0.9643177119475305,0.0,5.0
50ms,1,cubic,red,36.68575688888888,0.24170905619443514,0.0,6.333333333333333
50ms,1,dctcp,codel,45.449409333333335,0.3213389834999093,0.0,2656.0
50ms,1,dctcp,red,46.95442577777777,2.83765760527788,2.0,1199.3333333333333
50ms,1,reno,red,37.707076888888885,0.2580941985963611,0.0,6.666666666666667
80ms,0,cubic,codel,44.236589333333335,0.7279234705104102,4.0,0.0
80ms,0,cubic,fq,44.25241666666667,0.7305902796776832,0.0,4.0
80ms,0,cubic,red,34.523149644444445,0.28169155143338187,8.0,0.0
80ms,0,reno,codel,38.861612666666666,0.5749750237717908,2.0,0.0
80ms,0,reno,red,31.25066911111111,0.16028395369985463,1.3333333333333333,0.0
80ms,1,cubic,codel,44.25203,0.7305232210793783,0.0,4.0
80ms,1,cubic,fq,44.25241666666667,0.7305902796776832,0.0,4.0
80ms,1,cubic,red,34.52636542222223,0.2873565570238304,2.6666666666666665,10.333333333333334
80ms,1,dctcp,codel,33.136025866666664,0.23163680301845116,0.0,798.0
80ms,1,dctcp,fq,33.11208653333333,0.21824188974202532,0.0,928.0
80ms,1,reno,codel,38.654646,0.5789304125959785,0.0,2.0
80ms,1,reno,fq,38.656188666666665,0.579018041965006,0.0,2.0
80ms,1,reno,red,31.187215555555554,0.16142963451612313,0.0,2.0
