queue,base_rtt,ecn,throughput_order,top_throughput_tcp,top_throughput_mbps,delay_order,lowest_delay_tcp,lowest_delay_ms
codel,10ms,0,cubic>reno,cubic,48.192493333333324,cubic<reno,cubic,3.121923335384911
codel,10ms,1,cubic>dctcp>reno,cubic,48.192493333333324,dctcp<cubic<reno,dctcp,0.5878080741806554
codel,50ms,0,cubic>reno,cubic,45.85834066666666,reno<cubic,reno,0.8242021217261305
codel,50ms,1,cubic>dctcp>reno,cubic,45.85564266666666,dctcp<reno<cubic,dctcp,0.3213389834999093
codel,80ms,0,cubic>reno,cubic,44.236589333333335,reno<cubic,reno,0.5749750237717908
codel,80ms,1,cubic>reno>dctcp,cubic,44.25203,dctcp<reno<cubic,dctcp,0.23163680301845116
fq,10ms,0,cubic>reno,cubic,48.192493333333324,cubic<reno,cubic,3.1045646289923545
fq,10ms,1,cubic>dctcp>reno,cubic,48.192493333333324,dctcp<cubic<reno,dctcp,0.5889979275696545
fq,50ms,0,cubic>reno,cubic,45.85564200000001,reno<cubic,reno,0.8274692478241658
fq,50ms,1,cubic>dctcp>reno,cubic,45.85564200000001,dctcp<reno<cubic,dctcp,0.32311737981022776
fq,80ms,0,cubic>reno,cubic,44.25241666666667,reno<cubic,reno,0.579018041965006
fq,80ms,1,cubic>reno>dctcp,cubic,44.25241666666667,dctcp<reno<cubic,dctcp,0.21824188974202532
pie,10ms,0,cubic>reno,cubic,46.77309666666667,cubic<reno,cubic,0.7003425474361823
pie,10ms,1,cubic>dctcp>reno,cubic,46.77309666666667,cubic<reno<dctcp,cubic,0.7003425474361823
pie,50ms,0,reno>cubic,reno,39.977536,cubic<reno,cubic,0.3706642523766273
pie,50ms,1,reno>cubic>dctcp,reno,39.977536,cubic<reno<dctcp,cubic,0.3706642523766273
pie,80ms,0,cubic>reno,cubic,31.737066533333333,reno<cubic,reno,0.44851947581986296
pie,80ms,1,cubic>reno>dctcp,cubic,31.737066533333333,reno<dctcp<cubic,reno,0.44851947581986296
red,10ms,0,cubic>reno,cubic,47.480473555555555,cubic<reno,cubic,0.4519668959953724
red,10ms,1,dctcp>cubic>reno,dctcp,48.19300888888889,cubic<reno<dctcp,cubic,0.46875512521656176
red,50ms,0,reno>cubic,reno,36.656534444444446,cubic<reno,cubic,0.23944004625969453
red,50ms,1,dctcp>reno>cubic,dctcp,46.95442577777777,cubic<reno<dctcp,cubic,0.24170905619443514
red,80ms,0,cubic>reno,cubic,34.523149644444445,reno<cubic,reno,0.16028395369985463
red,80ms,1,dctcp>cubic>reno,dctcp,35.159751199999995,reno<cubic<dctcp,reno,0.16142963451612313
