first_tcp,second_tcp,topology,queue,base_rtt,ecn,stop_time,first_start_time,second_start_time,second_start_jitter,link_rate,git_commit,n_runs,throughput_mean_mbps_mean,throughput_mean_mbps_ci95,second_throughput_mean_mbps_mean,second_throughput_mean_mbps_ci95,total_throughput_mean_mbps_mean,total_throughput_mean_mbps_ci95,jain_fairness_mean,jain_fairness_ci95,ping_rtt_mean_ms_mean,ping_rtt_mean_ms_ci95,ping_rtt_p95_ms_mean,ping_rtt_p95_ms_ci95,queue_delay_mean_ms_mean,queue_delay_mean_ms_ci95,queue_delay_p95_ms_mean,queue_delay_p95_ms_ci95,queue_delay_max_ms_mean,queue_delay_max_ms_ci95,cwnd_mean_segments_mean,cwnd_mean_segments_ci95,drop_count_mean,drop_count_ci95,mark_count_mean,mark_count_ci95,elapsed_wall_seconds_mean,elapsed_wall_seconds_ci95
cubic,dctcp,single-bottleneck,codel,10ms,1,40s,5s,10s,5s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,2.014071466666667,0.010993464874831892,46.174411,0.008816794236667584,48.18848246666666,0.0029588700486727717,0.5435359681788977,0.00024482850025723396,11.312705263157895,0.026931989767208273,11.7284,0.026473438920549288,0.5791680297721614,0.011134763936566799,1.2,0.0,1.92,0.0,2.5,0.0,0.0,0.0,7154.666666666667,139.7995943405337,31.76386562983195,0.1070671247886504
cubic,dctcp,single-bottleneck,codel,80ms,1,40s,5s,10s,5s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,16.070483466666666,0.9975631148973229,27.445583,1.0158298078450778,43.516066466666665,0.5296115204469746,0.9353398161587808,0.01989154504006215,80.41765807017543,0.02067520887322527,81.131465,0.11714788296900859,0.1608193788210722,0.00403040319266283,0.48,0.0,2.16,0.27158556662679995,105.08157207483394,10.897311365442643,0.0,0.0,623.6666666666666,146.7355250479962,23.749495426813763,0.8255985300429401
cubic,dctcp,single-bottleneck,fq,10ms,1,40s,5s,10s,5s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,5.003515733333333,0.2623846189520426,43.18168033333333,0.2661890193674102,48.18519606666666,0.005454997578522119,0.6143491074377954,0.006524048024546462,10.772989473684211,0.006213302020943909,10.971396666666665,0.008360562847347987,0.49108936871479103,0.005523994493690149,0.96,0.0,2.0,0.15680000000000013,6.0628502755973015,0.7156003410318538,0.0,0.0,5745.0,169.61645674874828,33.411198457082115,0.2596053827019675
cubic,dctcp,single-bottleneck,fq,80ms,1,40s,5s,10s,5s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,15.150520133333332,0.8170916817101291,27.8460062,0.5180337626898456,42.99652633333333,1.2696110621686065,0.9195791298207124,0.009509483364634934,80.38175807017544,0.03996800704543695,80.835465,0.08536308680977968,0.15053853471010148,0.0034791411382441755,0.32,0.1568,1.92,0.47040000000000004,98.33773688583476,7.0413384708220335,0.0,0.0,211.33333333333334,55.34855533595957,23.809699694315594,1.5509641346206848
cubic,reno,single-bottleneck,codel,10ms,1,40s,5s,10s,5s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,9.476869533333334,3.146935311259152,38.411382133333326,3.240631316216199,47.88825166666666,0.24349617140890917,0.7326621116144355,0.08523813508648775,14.606658245614035,0.2455073942527862,17.65895,0.08913173558061932,3.862338639994171,0.1854459900210145,6.96,0.0,8.326826666666667,0.14341973333333402,15.61486546198386,7.862926372412325,0.0,0.0,55.666666666666664,2.35562683330314,36.3511434396108,0.5138118171514003
cubic,reno,single-bottleneck,codel,80ms,1,40s,5s,10s,5s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,25.690606666666667,5.019108068167402,19.807093733333335,4.511791110763924,45.49770040000001,0.5079898264875852,0.9627365431075239,0.029420969292654225,81.8254596491228,0.036542381730115106,86.13269333333334,0.14693280208391915,1.3569257994373138,0.07607014985418832,5.52,0.0,7.206826666666667,0.2600839750851083,180.03320100459658,28.383187353165685,0.0,0.0,7.0,0.0,36.40389402707418,4.345520317895898
cubic,reno,single-bottleneck,fq,10ms,1,40s,5s,10s,5s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,24.403043333333333,0.05774565581712575,23.749518466666668,0.08224677959819107,48.1525618,0.025558282082081014,0.9998114122713293,7.511609828244395e-05,10.758853859649122,0.0028454981843553445,10.970078333333333,0.0036386443800458914,3.873972755271946,0.06235461488362176,6.400000000000001,0.15680000000000013,7.68,0.0,31.299389610929833,0.08979325994394448,0.0,0.0,70.66666666666667,1.728557523228866,37.66930898030599,0.3180576750237016
cubic,reno,single-bottleneck,fq,80ms,1,40s,5s,10s,5s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,24.901542000000003,1.2205137302392581,19.889149,0.8681597731229957,44.790691,0.3534677733305187,0.9866808003770307,0.010816581345547974,80.5081901754386,0.030820863017378908,80.92488833333333,0.021543639919104463,0.7299336802770836,0.06797901597363436,3.92,0.3136,7.04,1.5443009033216295,173.0789154669476,3.811729341326545,0.0,0.0,5.333333333333333,1.3066666666666666,34.29566025733948,0.6588887394859438
reno,dctcp,single-bottleneck,codel,10ms,1,40s,5s,10s,5s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,5.5300085333333335,0.09277546105401559,41.870178333333335,0.12990496398725387,47.400186866666665,0.07222730266093283,0.629812909534371,0.0024399630686948517,10.979993157894738,0.061186223325111096,11.940545,0.1064778768701424,0.4489060095741922,0.0031461084143125035,1.2868266666666666,0.15055645360706982,2.8000000000000003,0.3136,6.281104710295193,0.06069814621936911,0.0,0.0,11733.666666666666,292.89232818752885,33.27337193489075,0.05427422965908471
reno,dctcp,single-bottleneck,codel,80ms,1,40s,5s,10s,5s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,13.131236266666667,0.6182382142946881,27.533046466666672,0.46355850872439214,40.66428273333333,0.9293141545575767,0.8883859964668436,0.010192151533872689,80.38470157894737,0.013253264968970302,80.92703166666666,0.041716176339689486,0.159553404770106,0.005685635683730446,0.39999999999999997,0.1568,2.08,0.15680000000000013,86.77447492243861,5.4278383558325904,0.0,0.0,713.3333333333334,274.00148839822833,74.75552320480347,101.67997308707768
