run_id,returncode,first_tcp,second_tcp,topology,queue,base_rtt,ecn,rng_run,stop_time,first_start_time,second_start_time,second_start_jitter,link_rate,throughput_mean_mbps,throughput_p05_mbps,throughput_p95_mbps,second_throughput_mean_mbps,total_throughput_mean_mbps,jain_fairness,ping_rtt_mean_ms,ping_rtt_p95_ms,queue_delay_mean_ms,queue_delay_p95_ms,queue_delay_max_ms,cwnd_mean_segments,drop_count,mark_count,elapsed_wall_seconds,git_commit
topology-single-bottleneck_tcp-cubic-vs-dctcp_queue-codel_rtt-10ms_ecn-1_run-1,0,cubic,dctcp,single-bottleneck,codel,10ms,1,1,40s,5s,10s,5s,50Mbps,2.0202496,1.96928,2.08512,46.168037999999996,48.188287599999995,0.5436749897262457,11.289222631578946,11.745305,0.5778104169514695,1.2,1.92,2.5,0,7195,31.68187189102173,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
topology-single-bottleneck_tcp-cubic-vs-dctcp_queue-codel_rtt-10ms_ecn-1_run-2,0,cubic,dctcp,single-bottleneck,codel,10ms,1,2,40s,5s,10s,5s,50Mbps,2.0190912,1.966384,2.0880159999999997,46.172098,48.1911892,0.543646218788999,11.312083157894737,11.701699999999999,0.5896161256670064,1.2,1.92,2.5,0,7016,31.867390871047974,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
topology-single-bottleneck_tcp-cubic-vs-dctcp_queue-codel_rtt-10ms_ecn-1_run-3,0,cubic,dctcp,single-bottleneck,codel,10ms,1,3,40s,5s,10s,5s,50Mbps,2.0028736,1.91136,2.14304,46.183097,48.1859706,0.5432866960214483,11.33681,11.738195000000001,0.5700775466980085,1.2,1.92,2.5,0,7253,31.742334127426147,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
topology-single-bottleneck_tcp-cubic-vs-dctcp_queue-codel_rtt-80ms_ecn-1_run-1,0,cubic,dctcp,single-bottleneck,codel,80ms,1,1,40s,5s,10s,5s,50Mbps,15.274664399999999,4.2223679999999995,27.254255,27.816076,43.0907404,0.9219070106763827,80.42915947368421,81.14598,0.1617081960909965,0.48,2.4,111.50975828402368,0,517,22.955607175827026,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
topology-single-bottleneck_tcp-cubic-vs-dctcp_queue-codel_rtt-80ms_ecn-1_run-2,0,cubic,dctcp,single-bottleneck,codel,80ms,1,2,40s,5s,10s,5s,50Mbps,15.918732,3.92408,30.471695000000004,28.098724999999998,44.017457,0.9288781678965806,80.39659052631579,81.226965,0.1638524634491432,0.48,1.92,94.0096991354467,0,768,24.390559196472168,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
topology-single-bottleneck_tcp-cubic-vs-dctcp_queue-codel_rtt-80ms_ecn-1_run-3,0,cubic,dctcp,single-bottleneck,codel,80ms,1,3,40s,5s,10s,5s,50Mbps,17.018054,4.978223999999999,30.602069999999998,26.421948,43.440002,0.9552342699033788,80.42722421052632,81.02145,0.15689747692307693,0.48,2.16,109.72525880503144,0,586,23.90231990814209,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
topology-single-bottleneck_tcp-cubic-vs-dctcp_queue-fq_rtt-10ms_ecn-1_run-1,0,cubic,dctcp,single-bottleneck,fq,10ms,1,1,40s,5s,10s,5s,50Mbps,4.992704,4.109424000000001,6.48704,43.188633,48.181337,0.6140777478235209,10.771865263157894,10.976685,0.494169734403953,0.96,1.92,6.366725087719298,0,5654,33.50356364250183,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
topology-single-bottleneck_tcp-cubic-vs-dctcp_queue-fq_rtt-10ms_ecn-1_run-2,0,cubic,dctcp,single-bottleneck,fq,10ms,1,2,40s,5s,10s,5s,50Mbps,4.7772416,3.970416,6.31328,43.413357999999995,48.1905996,0.6087242815741396,10.778955263157894,10.97455,0.49363734516457813,0.96,2.16,5.335896386554622,0,5663,33.580031871795654,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
topology-single-bottleneck_tcp-cubic-vs-dctcp_queue-fq_rtt-10ms_ecn-1_run-3,0,cubic,dctcp,single-bottleneck,fq,10ms,1,3,40s,5s,10s,5s,50Mbps,5.2406016,2.08512,8.346271999999999,42.94305,48.1836516,0.6202452929157257,10.768147894736842,10.962955,0.4854610265758419,0.96,1.92,6.485929352517985,0,5918,33.14999985694885,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
topology-single-bottleneck_tcp-cubic-vs-dctcp_queue-fq_rtt-80ms_ecn-1_run-1,0,cubic,dctcp,single-bottleneck,fq,80ms,1,1,40s,5s,10s,5s,50Mbps,15.3968742,3.93856,27.902939999999997,27.6666482,43.0635224,0.9249145740024032,80.41585315789473,80.866575,0.1479668113308391,0.24,2.4,104.00541904761904,0,236,23.809999227523804,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
