first_tcp,second_tcp,queue,base_rtt,ecn,stop_time,link_rate,git_commit,n_runs,throughput_mean_mbps_mean,throughput_mean_mbps_ci95,ping_rtt_mean_ms_mean,ping_rtt_mean_ms_ci95,ping_rtt_p95_ms_mean,ping_rtt_p95_ms_ci95,queue_delay_mean_ms_mean,queue_delay_mean_ms_ci95,queue_delay_p95_ms_mean,queue_delay_p95_ms_ci95,queue_delay_max_ms_mean,queue_delay_max_ms_ci95,cwnd_mean_segments_mean,cwnd_mean_segments_ci95,drop_count_mean,drop_count_ci95,mark_count_mean,mark_count_ci95,elapsed_wall_seconds_mean,elapsed_wall_seconds_ci95
cubic,,codel,10ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,48.192493333333324,0.0,13.885580689655173,0.0,15.876430000000001,0.0,3.121923335384911,0.0,5.06048,0.0,7.68,0.0,63.72063060498221,0.0,8.0,0.0,0.0,0.0,26.984522422154743,0.07868507791648757
cubic,,codel,10ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,48.192493333333324,0.0,13.859063793103447,0.0,15.731699999999998,0.0,3.1053274199131082,0.0,5.039999999999999,0.0,6.239999999999999,0.0,60.48745570291777,0.0,0.0,0.0,8.0,0.0,27.084415753682453,0.08737267094036813
cubic,,codel,50ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,45.85834066666666,0.0,51.2419351724138,0.0,55.381255,0.0,0.9616680582663002,0.0,4.58048,0.0,6.239999999999999,0.0,202.28443465909092,0.0,5.0,0.0,0.0,0.0,26.377758979797363,0.39947529045679514
cubic,,codel,50ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,45.85564266666666,0.0,51.26670689655172,0.0,55.281454999999994,0.0,0.9643177119475305,0.0,4.58048,0.0,6.26048,0.0,193.73510675909878,0.0,0.0,0.0,5.0,0.0,326.9415139357249,589.5183599297247
cubic,,codel,80ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,44.236589333333335,0.0,81.03488689655173,0.0,85.18472499999999,0.0,0.7279234705104102,0.0,4.56,0.0,6.96,0.0,308.3814284128746,0.0,4.0,0.0,0.0,0.0,349.720432360967,576.4871273751303
cubic,,codel,80ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,44.25203,0.0,81.04929586206896,0.0,85.176625,0.0,0.7305232210793783,0.0,4.56,0.0,6.98048,0.0,308.44312555391434,0.0,0.0,0.0,4.0,0.0,331.79114802678424,600.6367068038817
cubic,,fq,10ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,48.192493333333324,0.0,10.749819655172415,0.0,10.964885,0.0,3.1045646289923545,0.0,5.039999999999999,0.0,6.239999999999999,0.0,60.48745570291777,0.0,0.0,0.0,8.0,0.0,343.053990761439,617.1507986594248
cubic,,fq,10ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,48.192493333333324,0.0,10.749819655172415,0.0,10.964885,0.0,3.1045646289923545,0.0,5.039999999999999,0.0,6.239999999999999,0.0,60.48745570291777,0.0,0.0,0.0,8.0,0.0,374.38716077804565,677.3742756675662
cubic,,fq,50ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,45.85564200000001,0.0,50.477462758620696,0.0,50.934055,0.0,0.9643302822984635,0.0,4.8,0.0,6.48,0.0,193.93176145833334,0.0,0.0,0.0,5.0,0.0,659.3840671380361,620.6622153064841
cubic,,fq,50ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,45.85564200000001,0.0,50.477462758620696,0.0,50.934055,0.0,0.9643302822984635,0.0,4.8,0.0,6.48,0.0,193.93176145833334,0.0,0.0,0.0,5.0,0.0,652.3236832618713,613.4417944618134
cubic,,fq,80ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,44.25241666666667,0.0,80.43467862068965,0.0,80.89552,0.0,0.7305902796776832,0.0,4.56,0.0,7.2,0.0,308.44312555391434,0.0,0.0,0.0,4.0,0.0,402.2056612968445,608.7329887483135
cubic,,fq,80ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,44.25241666666667,0.0,80.43467862068965,0.0,80.89552,0.0,0.7305902796776832,0.0,4.56,0.0,7.2,0.0,308.44312555391434,0.0,0.0,0.0,4.0,0.0,347.9955800374349,630.5634150763354
cubic,,pie,10ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,46.77309666666667,0.0,11.00569275862069,0.0,14.883890000000003,0.0,0.7003425474361823,0.0,4.08,0.0,6.0,0.0,55.95008931860037,0.0,35.0,0.0,0.0,0.0,518.712754646937,554.640789534071
cubic,,pie,10ms,1,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,46.77309666666667,0.0,11.00569275862069,0.0,14.883890000000003,0.0,0.7003425474361823,0.0,4.08,0.0,6.0,0.0,55.95008931860037,0.0,35.0,0.0,0.0,0.0,656.6639339923859,616.9954322383779
cubic,,pie,50ms,0,40s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,3,31.62509533333333,0.0,50.47007896551724,0.0,51.66554499999999,0.0,0.3706642523766273,0.0,2.4,0.0,6.0,0.0,171.35348291571754,0.0,16.0,0.0,0.0,0.0,329.17117341359454,612.3699243020639
