qdisc,bwMbps,rttMs,nFlows,seed,aggMbps,jain,probeMeanMs,probeJitterMs,drops
Cake,10,40,4,1,8.59868,0.985778,24.3884,0.680599,168
Cake,50,40,4,1,46.7516,0.999331,21.1188,0.191352,46
Cake,100,40,4,1,97.0156,1,20.6167,0.0787092,0
FqCoDel,10,40,4,1,9.17462,0.983151,24.5942,0.730051,159
FqCoDel,50,40,4,1,48.1743,0.999704,21.2969,0.160399,36
FqCoDel,100,40,4,1,97.0156,1,20.6167,0.0787092,0
FqCobalt,10,40,4,1,8.59868,0.985778,24.3884,0.680599,168
FqCobalt,50,40,4,1,46.7516,0.999331,21.1188,0.191352,46
FqCobalt,100,40,4,1,97.0156,1,20.6167,0.0787092,0
Pie,10,40,4,1,9.13082,0.938283,35.4682,1.24659,234
Pie,50,40,4,1,41.5603,0.943672,21.8998,0.291082,224
Pie,100,40,4,1,68.0581,0.9753,20.4436,0.124421,176
PfifoFast,10,40,4,1,9.57832,0.994642,396.751,0.814873,0
PfifoFast,50,40,4,1,48.5626,0.999999,67.2898,0.147793,0
PfifoFast,100,40,4,1,97.0158,0.999997,23.9095,0.0958177,0
