first_tcp,second_tcp,queue,base_rtt,ecn,stop_time,link_rate,git_commit,n_runs,throughput_mean_mbps_mean,throughput_mean_mbps_ci95,ping_rtt_mean_ms_mean,ping_rtt_mean_ms_ci95,ping_rtt_p95_ms_mean,ping_rtt_p95_ms_ci95,queue_delay_mean_ms_mean,queue_delay_mean_ms_ci95,queue_delay_p95_ms_mean,queue_delay_p95_ms_ci95,queue_delay_max_ms_mean,queue_delay_max_ms_ci95,cwnd_mean_segments_mean,cwnd_mean_segments_ci95,drop_count_mean,drop_count_ci95,mark_count_mean,mark_count_ci95,elapsed_wall_seconds_mean,elapsed_wall_seconds_ci95
cubic,,codel,10ms,0,12s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,1,48.193266666666666,nan,13.611698,nan,14.453955,nan,2.980137895746722,nan,4.8,nan,7.68,nan,63.826546666666665,nan,1.0,nan,0.0,nan,6.745748043060303,nan
cubic,,codel,10ms,1,12s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,1,48.193266666666666,nan,13.90489,nan,14.828555,nan,3.1302193280166297,nan,4.8,nan,6.24,nan,60.63198823529412,nan,0.0,nan,1.0,nan,6.287946939468384,nan
cubic,,codel,80ms,0,12s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,1,44.66403666666667,nan,86.53546078431373,nan,130.0795,nan,3.5645810313931103,nan,26.4,nan,73.22048,nan,412.50658165137617,nan,15.0,nan,0.0,nan,6.18993878364563,nan
cubic,,codel,80ms,1,12s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,1,43.75468333333333,nan,84.54073333333334,nan,97.02965,nan,1.7117072105696303,nan,5.52,nan,73.94048,nan,397.4912424242424,nan,0.0,nan,7.0,nan,5.481710195541382,nan
cubic,,fq,10ms,0,12s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,1,48.193266666666666,nan,10.747087999999998,nan,10.949755,nan,3.129694940837864,nan,4.8,nan,6.0,nan,60.63198823529412,nan,0.0,nan,1.0,nan,6.480362892150879,nan
cubic,,fq,10ms,1,12s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,1,48.193266666666666,nan,10.747087999999998,nan,10.949755,nan,3.129694940837864,nan,4.8,nan,6.0,nan,60.63198823529412,nan,0.0,nan,1.0,nan,6.332388162612915,nan
cubic,,fq,80ms,0,12s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,1,43.75855333333333,nan,80.470106,nan,80.8849,nan,1.7137367625995286,nan,5.52,nan,73.92,nan,397.4912424242424,nan,0.0,nan,7.0,nan,5.71839165687561,nan
cubic,,fq,80ms,1,12s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,1,43.75855333333333,nan,80.470106,nan,80.8849,nan,1.7137367625995286,nan,5.52,nan,73.92,nan,397.4912424242424,nan,0.0,nan,7.0,nan,5.670630931854248,nan
dctcp,,codel,10ms,1,12s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,1,48.193266666666666,nan,11.335650000000001,nan,11.721820000000001,nan,0.5890574789109663,nan,1.2,nan,1.92,nan,49.76446994011976,nan,0.0,nan,2050.0,nan,6.288732051849365,nan
dctcp,,codel,80ms,1,12s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,1,6.402090666666666,nan,80.06625,nan,80.338195,nan,0.11843424420229114,nan,0.24,nan,0.24,nan,49.1961,nan,0.0,nan,0.0,nan,1.3403518199920654,nan
dctcp,,fq,10ms,1,12s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,1,48.193266666666666,nan,10.763682,nan,10.97354,nan,0.5943696643812341,nan,1.2,nan,1.46048,nan,49.787452357920195,nan,0.0,nan,2065.0,nan,6.49495005607605,nan
dctcp,,fq,80ms,1,12s,50Mbps,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f,1,6.402090666666666,nan,80.06625,nan,80.338195,nan,0.11843424420229114,nan,0.24,nan,0.24,nan,49.1961,nan,0.0,nan,0.0,nan,1.2756578922271729,nan
