run_id,returncode,first_tcp,second_tcp,queue,base_rtt,ecn,rng_run,stop_time,link_rate,throughput_mean_mbps,throughput_p05_mbps,throughput_p95_mbps,second_throughput_mean_mbps,ping_rtt_mean_ms,ping_rtt_p95_ms,queue_delay_mean_ms,queue_delay_p95_ms,queue_delay_max_ms,cwnd_mean_segments,drop_count,mark_count,elapsed_wall_seconds,git_commit
tcp-cubic_queue-codel_rtt-10ms_ecn-0_run-1,0,cubic,,codel,10ms,0,1,12s,50Mbps,48.193266666666666,48.1894,48.2213,nan,13.611698,14.453955,2.980137895746722,4.8,7.68,63.826546666666665,1,0,6.745748043060303,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-codel_rtt-10ms_ecn-1_run-1,0,cubic,,codel,10ms,1,1,12s,50Mbps,48.193266666666666,48.1894,48.2213,nan,13.90489,14.828555,3.1302193280166297,4.8,6.24,60.63198823529412,0,1,6.287946939468384,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-codel_rtt-80ms_ecn-0_run-1,0,cubic,,codel,80ms,0,1,12s,50Mbps,44.66403666666667,36.790815,54.911059999999964,nan,86.53546078431373,130.0795,3.5645810313931103,26.4,73.22048,412.50658165137617,15,0,6.18993878364563,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-codel_rtt-80ms_ecn-1_run-1,0,cubic,,codel,80ms,1,1,12s,50Mbps,43.75468333333333,38.085325000000005,48.1894,nan,84.54073333333334,97.02965,1.7117072105696303,5.52,73.94048,397.4912424242424,0,7,5.481710195541382,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-10ms_ecn-0_run-1,0,cubic,,fq,10ms,0,1,12s,50Mbps,48.193266666666666,48.1894,48.2213,nan,10.747087999999998,10.949755,3.129694940837864,4.8,6.0,60.63198823529412,0,1,6.480362892150879,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-10ms_ecn-1_run-1,0,cubic,,fq,10ms,1,1,12s,50Mbps,48.193266666666666,48.1894,48.2213,nan,10.747087999999998,10.949755,3.129694940837864,4.8,6.0,60.63198823529412,0,1,6.332388162612915,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-80ms_ecn-0_run-1,0,cubic,,fq,80ms,0,1,12s,50Mbps,43.75855333333333,38.11717,48.1894,nan,80.470106,80.8849,1.7137367625995286,5.52,73.92,397.4912424242424,0,7,5.71839165687561,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-cubic_queue-fq_rtt-80ms_ecn-1_run-1,0,cubic,,fq,80ms,1,1,12s,50Mbps,43.75855333333333,38.11717,48.1894,nan,80.470106,80.8849,1.7137367625995286,5.52,73.92,397.4912424242424,0,7,5.670630931854248,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-dctcp_queue-codel_rtt-10ms_ecn-1_run-1,0,dctcp,,codel,10ms,1,1,12s,50Mbps,48.193266666666666,48.1894,48.2213,nan,11.335650000000001,11.721820000000001,0.5890574789109663,1.2,1.92,49.76446994011976,0,2050,6.288732051849365,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-dctcp_queue-codel_rtt-80ms_ecn-1_run-1,0,dctcp,,codel,80ms,1,1,12s,50Mbps,6.402090666666666,1.8302720000000001,10.836845,nan,80.06625,80.338195,0.11843424420229114,0.24,0.24,49.1961,0,0,1.3403518199920654,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-dctcp_queue-fq_rtt-10ms_ecn-1_run-1,0,dctcp,,fq,10ms,1,1,12s,50Mbps,48.193266666666666,48.1894,48.2213,nan,10.763682,10.97354,0.5943696643812341,1.2,1.46048,49.787452357920195,0,2065,6.49495005607605,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
tcp-dctcp_queue-fq_rtt-80ms_ecn-1_run-1,0,dctcp,,fq,80ms,1,1,12s,50Mbps,6.402090666666666,1.8302720000000001,10.836845,nan,80.06625,80.338195,0.11843424420229114,0.24,0.24,49.1961,0,0,1.2756578922271729,e2c9e30c6ebdfd534aa7e30f6324b5674d138b9f
