#Time(s) qlen(pkts) qlen(us)
4.00 180 216 0.07, 0.09, 0.09, 0.08, 0.08, 0.07, 0.08, 0.09, 0.07, 0.07, 0.08, 0.09, 0.06, 0.07, 0.08, 0.08, 0.09, 0.08, 0.05, 0.11, 
4.01 170 204 0.07, 0.09, 0.08, 0.07, 0.10, 0.09, 0.10, 0.06, 0.06, 0.08, 0.10, 0.08, 0.07, 0.08, 0.07, 0.11, 0.07, 0.08, 0.09, 0.08, 
4.02 172 206 0.09, 0.06, 0.08, 0.11, 0.11, 0.08, 0.09, 0.06, 0.06, 0.10, 0.11, 0.06, 0.08, 0.07, 0.07, 0.08, 0.08, 0.05, 0.09, 0.09, 
4.03 179 214 0.10, 0.09, 0.10, 0.06, 0.09, 0.06, 0.06, 0.08, 0.09, 0.11, 0.09, 0.07, 0.08, 0.07, 0.08, 0.05, 0.10, 0.06, 0.08, 0.07, 
4.04 173 207 0.08, 0.09, 0.08, 0.09, 0.05, 0.05, 0.10, 0.07, 0.09, 0.07, 0.10, 0.11, 0.08, 0.08, 0.07, 0.07, 0.08, 0.07, 0.08, 0.05, 
4.05 179 214 0.11, 0.11, 0.07, 0.08, 0.06, 0.08, 0.08, 0.08, 0.08, 0.09, 0.08, 0.12, 0.11, 0.09, 0.06, 0.09, 0.09, 0.09, 0.07, 0.07, 
4.06 171 205 0.11, 0.10, 0.09, 0.07, 0.06, 0.09, 0.06, 0.08, 0.07, 0.09, 0.08, 0.08, 0.12, 0.08, 0.07, 0.08, 0.06, 0.09, 0.08, 0.05, 
4.07 175 210 0.08, 0.06, 0.08, 0.09, 0.08, 0.06, 0.07, 0.08, 0.07, 0.07, 0.08, 0.06, 0.09, 0.08, 0.08, 0.09, 0.06, 0.11, 0.06, 0.07, 
4.08 177 212 0.07, 0.08, 0.10, 0.09, 0.09, 0.09, 0.07, 0.08, 0.07, 0.07, 0.10, 0.08, 0.08, 0.07, 0.08, 0.12, 0.05, 0.09, 0.06, 0.09, 
4.09 177 212 0.07, 0.05, 0.09, 0.09, 0.11, 0.07, 0.06, 0.09, 0.09, 0.06, 0.08, 0.07, 0.10, 0.08, 0.08, 0.08, 0.07, 0.08, 0.07, 0.09, 
4.10 180 216 0.08, 0.08, 0.09, 0.05, 0.06, 0.06, 0.09, 0.09, 0.08, 0.07, 0.07, 0.08, 0.08, 0.10, 0.11, 0.08, 0.07, 0.07, 0.09, 0.06, 
4.11 176 211 0.11, 0.07, 0.10, 0.08, 0.08, 0.08, 0.08, 0.10, 0.08, 0.07, 0.06, 0.09, 0.08, 0.08, 0.11, 0.09, 0.07, 0.05, 0.09, 0.09, 
4.12 177 212 0.08, 0.09, 0.08, 0.08, 0.06, 0.09, 0.06, 0.09, 0.07, 0.08, 0.09, 0.08, 0.05, 0.09, 0.08, 0.11, 0.09, 0.08, 0.09, 0.07, 
4.13 178 213 0.09, 0.07, 0.08, 0.08, 0.06, 0.08, 0.07, 0.08, 0.07, 0.08, 0.07, 0.10, 0.07, 0.08, 0.12, 0.11, 0.05, 0.09, 0.06, 0.09, 
