#Time(s) qlen(pkts) qlen(us)
4.00 187 224 0.15, 0.16, 0.15, 0.15, 0.13, 0.13, 0.17, 0.10, 0.17, 0.12, 0.11, 0.13, 0.11, 0.13, 0.19, 0.15, 0.10, 0.13, 0.12, 0.13, 0.15, 0.19, 0.18, 0.13, 0.13, 0.15, 0.13, 0.16, 0.12, 0.16, 0.18, 0.13, 0.17, 0.15, 0.17, 0.17, 0.13, 0.13, 0.16, 0.14, 
4.01 198 237 0.12, 0.13, 0.25, 0.15, 0.11, 0.11, 0.14, 0.12, 0.13, 0.19, 0.17, 0.15, 0.16, 0.15, 0.16, 0.17, 0.14, 0.13, 0.13, 0.15, 0.13, 0.11, 0.14, 0.12, 0.10, 0.14, 0.16, 0.12, 0.15, 0.18, 0.21, 0.15, 0.16, 0.12, 0.12, 0.20, 0.14, 0.16, 0.13, 0.10, 
4.02 193 231 0.13, 0.16, 0.17, 0.13, 0.18, 0.15, 0.13, 0.15, 0.13, 0.11, 0.09, 0.11, 0.15, 0.14, 0.11, 0.14, 0.14, 0.12, 0.13, 0.15, 0.15, 0.13, 0.15, 0.13, 0.20, 0.13, 0.16, 0.16, 0.17, 0.15, 0.15, 0.19, 0.15, 0.10, 0.18, 0.15, 0.20, 0.17, 0.15, 0.14, 
4.03 184 220 0.14, 0.15, 0.19, 0.16, 0.12, 0.13, 0.12, 0.11, 0.16, 0.16, 0.15, 0.11, 0.13, 0.12, 0.13, 0.10, 0.11, 0.13, 0.14, 0.11, 0.18, 0.17, 0.11, 0.19, 0.14, 0.16, 0.16, 0.14, 0.15, 0.13, 0.10, 0.15, 0.16, 0.17, 0.11, 0.14, 0.19, 0.17, 0.12, 0.15, 
4.04 193 231 0.16, 0.16, 0.13, 0.14, 0.16, 0.15, 0.15, 0.11, 0.18, 0.17, 0.12, 0.15, 0.12, 0.12, 0.14, 0.09, 0.15, 0.13, 0.17, 0.12, 0.11, 0.17, 0.11, 0.17, 0.14, 0.13, 0.14, 0.18, 0.13, 0.21, 0.11, 0.12, 0.11, 0.21, 0.13, 0.12, 0.16, 0.12, 0.19, 0.15, 
4.05 193 231 0.15, 0.11, 0.14, 0.18, 0.09, 0.16, 0.15, 0.18, 0.16, 0.11, 0.10, 0.19, 0.12, 0.14, 0.10, 0.13, 0.10, 0.10, 0.16, 0.15, 0.11, 0.11, 0.13, 0.10, 0.20, 0.14, 0.16, 0.14, 0.16, 0.14, 0.12, 0.11, 0.13, 0.22, 0.13, 0.18, 0.19, 0.14, 0.19, 0.19, 
4.06 184 220 0.09, 0.12, 0.16, 0.13, 0.14, 0.13, 0.12, 0.15, 0.17, 0.12, 0.10, 0.15, 0.19, 0.15, 0.16, 0.16, 0.14, 0.13, 0.14, 0.15, 0.14, 0.13, 0.15, 0.21, 0.13, 0.14, 0.12, 0.19, 0.14, 0.14, 0.12, 0.20, 0.12, 0.17, 0.09, 0.17, 0.12, 0.13, 0.15, 0.16, 
4.07 191 229 0.19, 0.11, 0.14, 0.14, 0.20, 0.12, 0.14, 0.16, 0.11, 0.16, 0.13, 0.16, 0.20, 0.16, 0.18, 0.13, 0.12, 0.13, 0.09, 0.15, 0.12, 0.18, 0.15, 0.17, 0.17, 0.11, 0.15, 0.13, 0.16, 0.16, 0.16, 0.16, 0.18, 0.14, 0.14, 0.22, 0.15, 0.16, 0.17, 0.14, 
4.08 196 235 0.14, 0.15, 0.17, 0.18, 0.19, 0.17, 0.15, 0.14, 0.14, 0.20, 0.18, 0.16, 0.14, 0.13, 0.10, 0.14, 0.11, 0.12, 0.13, 0.15, 0.13, 0.18, 0.15, 0.13, 0.14, 0.15, 0.19, 0.15, 0.13, 0.11, 0.10, 0.19, 0.18, 0.15, 0.14, 0.12, 0.19, 0.11, 0.17, 0.15, 
4.09 193 231 0.15, 0.17, 0.16, 0.13, 0.15, 0.12, 0.14, 0.12, 0.12, 0.19, 0.22, 0.14, 0.17, 0.15, 0.14, 0.19, 0.15, 0.12, 0.12, 0.19, 0.12, 0.13, 0.14, 0.12, 0.11, 0.19, 0.14, 0.19, 0.13, 0.11, 0.10, 0.11, 0.13, 0.18, 0.15, 0.10, 0.20, 0.18, 0.13, 0.13, 
4.10 189 226 0.11, 0.15, 0.16, 0.20, 0.14, 0.14, 0.14, 0.12, 0.20, 0.15, 0.15, 0.20, 0.17, 0.14, 0.20, 0.13, 0.14, 0.23, 0.16, 0.11, 0.18, 0.10, 0.14, 0.10, 0.13, 0.13, 0.18, 0.13, 0.12, 0.14, 0.10, 0.18, 0.13, 0.16, 0.14, 0.13, 0.14, 0.14, 0.15, 0.11, 
4.11 193 231 0.14, 0.09, 0.13, 0.16, 0.13, 0.15, 0.17, 0.11, 0.20, 0.11, 0.25, 0.19, 0.13, 0.16, 0.16, 0.14, 0.17, 0.16, 0.13, 0.17, 0.15, 0.13, 0.15, 0.11, 0.10, 0.15, 0.13, 0.14, 0.17, 0.12, 0.16, 0.19, 0.21, 0.13, 0.16, 0.12, 0.14, 0.13, 0.13, 0.14, 
4.12 201 241 0.10, 0.12, 0.13, 0.13, 0.17, 0.16, 0.13, 0.14, 0.17, 0.17, 0.15, 0.12, 0.18, 0.15, 0.12, 0.14, 0.16, 0.16, 0.14, 0.16, 0.15, 0.12, 0.15, 0.16, 0.13, 0.18, 0.15, 0.18, 0.14, 0.12, 0.13, 0.13, 0.16, 0.18, 0.13, 0.11, 0.15, 0.15, 0.17, 0.15, 
4.13 200 240 0.15, 0.13, 0.15, 0.12, 0.11, 0.19, 0.13, 0.18, 0.15, 0.12, 0.13, 0.16, 0.11, 0.18, 0.17, 0.12, 0.13, 0.10, 0.19, 0.16, 0.11, 0.13, 0.12, 0.17, 0.15, 0.09, 0.19, 0.10, 0.20, 0.13, 0.16, 0.16, 0.12, 0.17, 0.16, 0.14, 0.12, 0.12, 0.12, 0.13, 
4.14 191 229 0.12, 0.14, 0.12, 0.14, 0.11, 0.12, 0.17, 0.17, 0.17, 0.12, 0.13, 0.14, 0.13, 0.13, 0.16, 0.15, 0.16, 0.16, 0.16, 0.17, 0.17, 0.12, 0.18, 0.14, 0.13, 0.12, 0.12, 0.13, 0.15, 0.17, 0.16, 0.12, 0.14, 0.17, 0.16, 0.16, 0.17, 0.09, 0.12, 0.12, 
4.15 206 247 0.18, 0.13, 0.09, 0.11, 0.09, 0.12, 0.16, 0.16, 0.13, 0.17, 0.13, 0.10, 0.15, 0.17, 0.21, 0.17, 0.15, 0.14, 0.13, 0.17, 0.09, 0.15, 0.17, 0.21, 0.19, 0.15, 0.11, 0.16, 0.15, 0.14, 0.19, 0.11, 0.17, 0.15, 0.14, 0.13, 0.14, 0.12, 0.13, 0.14, 
4.16 187 224 0.13, 0.13, 0.11, 0.14, 0.14, 0.19, 0.19, 0.13, 0.11, 0.12, 0.12, 0.16, 0.13, 0.15, 0.14, 0.15, 0.14, 0.16, 0.14, 0.17, 0.14, 0.15, 0.15, 0.11, 0.16, 0.13, 0.15, 0.23, 0.13, 0.14, 0.12, 0.14, 0.14, 0.14, 0.15, 0.14, 0.13, 0.15, 0.09, 0.16, 
4.17 197 236 0.13, 0.15, 0.21, 0.12, 0.15, 0.19, 0.09, 0.15, 0.15, 0.16, 0.12, 0.15, 0.13, 0.12, 0.16, 0.13, 0.14, 0.11, 0.15, 0.14, 0.14, 0.12, 0.16, 0.14, 0.16, 0.15, 0.15, 0.12, 0.12, 0.14, 0.17, 0.12, 0.10, 0.13, 0.14, 0.12, 0.15, 0.12, 0.13, 0.10, 
4.18 189 226 0.14, 0.16, 0.13, 0.17, 0.17, 0.17, 0.17, 0.15, 0.15, 0.16, 0.20, 0.14, 0.17, 0.14, 0.12, 0.12, 0.12, 0.12, 0.16, 0.15, 0.17, 0.18, 0.17, 0.14, 0.11, 0.17, 0.18, 0.11, 0.14, 0.14, 0.18, 0.16, 0.17, 0.13, 0.16, 0.14, 0.13, 0.12, 0.12, 0.13, 
4.19 195 234 0.19, 0.15, 0.18, 0.10, 0.17, 0.16, 0.14, 0.16, 0.15, 0.13, 0.13, 0.15, 0.12, 0.16, 0.16, 0.19, 0.14, 0.14, 0.14, 0.11, 0.14, 0.12, 0.16, 0.14, 0.14, 0.13, 0.11, 0.18, 0.16, 0.15, 0.18, 0.07, 0.14, 0.13, 0.12, 0.16, 0.12, 0.16, 0.16, 0.13, 
